avg_context_surprisal_gap,avg_first_token_surprisal,dataset,lm_cc,lm_cc_density,loc,num_functions,num_semantic_units,ppl,total_tokens,uid
0.039770730055170136,8.425043106079102,humaneval,11.599999999999998,39.119121357798576,10,1,9,2.4565283436680896,86,HumanEval_0
0.07882667965173601,1.78778076171875,humaneval,13.599999999999998,15.318391438573599,21,1,15,1.7378826870879256,147,HumanEval_1
0.02237038495315408,8.43901538848877,humaneval,2.8,4.653502464294434,3,1,4,6.9093960374699135,28,HumanEval_2
0.0022404561065794792,8.439016342163086,humaneval,8.8,12.212415009737015,10,1,8,3.228031333345884,57,HumanEval_3
0.04627022100612521,8.439016342163086,humaneval,4.2,2.313384532928467,4,1,5,2.2983890698611873,57,HumanEval_4
0.009536583294592253,8.425043106079102,humaneval,8.6,13.56209620833397,14,1,9,2.1296153137175913,88,HumanEval_5
0.24773622043848884,2.7914316654205322,humaneval,14.399999999999999,8.792861208319664,17,2,14,2.0288218111349248,134,HumanEval_6
0.31608749058149344,1.780746340751648,humaneval,2.8,1.600226640701294,5,1,6,2.5647482615305197,44,HumanEval_7
0.13828641616183793,1.780746340751648,humaneval,5.6,7.315437525510788,11,1,8,2.043984641713279,76,HumanEval_8
0.12589813958106258,1.78778076171875,humaneval,10.6,15.327662967145443,16,1,12,1.8386189243680204,94,HumanEval_9
0.06840730617348585,1.78778076171875,humaneval,10.2,13.754856258630753,13,1,12,2.460530012104717,101,HumanEval_10
0.3420384131191225,3.442683219909668,humaneval,9.399999999999999,10.558203456923366,11,2,11,1.976495122216377,84,HumanEval_11
0.05479959087697641,8.439016342163086,humaneval,5.6,16.127771139144897,9,1,6,2.2900061516735573,69,HumanEval_12
0.1065484425111208,8.439016342163086,humaneval,2.8,4.777996391057968,5,1,4,2.2252191465106432,46,HumanEval_13
0.21155210474639066,1.780746340751648,humaneval,5.8,6.615166038274765,9,1,8,2.170057459510397,57,HumanEval_14
0.22756751515450613,1.780746340751648,humaneval,2.8,4.637615203857422,5,1,6,3.3829689201139024,42,HumanEval_15
-0.009902439321632739,8.439016342163086,humaneval,2.8,1.500710129737854,3,1,4,4.123129267661717,33,HumanEval_16
0.07529631728903041,8.439016342163086,humaneval,4.2,1.452154278755188,4,1,5,4.431408008458568,70,HumanEval_17
-0.01957220919494931,8.439016342163086,humaneval,7.199999999999999,11.655019521713257,9,1,7,2.05028979812701,78,HumanEval_18
0.014391415623001247,8.425043106079102,humaneval,5.8,3.0925488471984863,15,1,6,1.7255872088636708,142,HumanEval_19
0.021949353771752778,1.7888953685760498,humaneval,24.0,71.48930794373155,20,1,18,1.7453719834272758,169,HumanEval_20
0.20269766805890518,1.780746340751648,humaneval,5.6,2.1408982276916504,7,1,8,2.0981218001681126,73,HumanEval_21
0.08547294860952259,8.439016342163086,humaneval,2.8,1.7217620611190796,3,1,4,3.2199325554399536,40,HumanEval_22
0.07124776263824767,8.438502311706543,humaneval,2.8,1.4497238397598267,3,1,4,4.6846176606626635,24,HumanEval_23
0.1727567308815196,1.780746340751648,humaneval,2.8,7.509715110063553,7,1,6,2.2839080126578306,48,HumanEval_24
0.12776346585946158,1.78778076171875,humaneval,14.999999999999998,16.11269909143448,17,1,14,1.6809795953181135,108,HumanEval_25
0.09803344144447877,8.439016342163086,humaneval,5.6,5.731298208236694,5,1,6,2.767692425425557,55,HumanEval_26
-0.03222454883646043,8.43901538848877,humaneval,2.8,3.090331554412842,3,1,4,4.961959598260141,27,HumanEval_27
0.1850557049355385,8.43901538848877,humaneval,2.8,2.9727540016174316,3,1,4,4.029833864347714,28,HumanEval_28
0.10929950607271913,8.439016342163086,humaneval,2.8,1.809295892715454,3,1,4,2.8044765356083015,45,HumanEval_29
0.2377636995911598,1.780746340751648,humaneval,2.8,3.8882088661193848,5,1,6,3.835766070778916,33,HumanEval_30
0.059747582306062766,1.780746340751648,humaneval,4.2,8.674907814711332,10,1,7,1.9585253152470663,59,HumanEval_31
0.35340495255705756,1.8263619542121887,humaneval,17.2,13.376764390617609,18,2,15,1.9976935608609787,175,HumanEval_32
-0.01653210525142236,8.439016342163086,humaneval,5.6,1.2671940326690674,5,1,6,4.530241015391774,42,HumanEval_33
0.42840358666661715,1.7797021865844727,humaneval,2.8,2.6411757469177246,5,1,6,4.086451215061875,26,HumanEval_34
0.14610260433400982,1.780746340751648,humaneval,4.2,7.796583712100983,9,1,7,2.4658511551101148,48,HumanEval_35
0.050303374585148296,8.425043106079102,humaneval,14.799999999999999,20.599177181720734,11,1,12,2.7733698601452574,103,HumanEval_36
0.0017557995500586305,8.425043106079102,humaneval,12.799999999999999,10.82239454984665,11,1,11,2.3137279319865662,102,HumanEval_37
0.13839963791362042,2.1016547679901123,humaneval,18.6,17.566411370411515,20,2,17,1.866175461512731,153,HumanEval_39
0.060048363229056455,1.78778076171875,humaneval,11.799999999999999,42.406539373099804,10,1,11,1.8121958615512526,95,HumanEval_40
