bin_start,bin_end,n,pass_at_1_mean,pass_at_1_std,lm_cc_mean
12,13,1,1.0,,10.0
13,14,1,0.0,,16.0
16,17,1,1.0,,19.0
17,18,1,0.6,,19.6
18,19,4,0.55,0.443471156521669,20.15
19,20,1,0.0,,21.4
20,21,1,0.6,,17.6
21,22,8,0.3,0.4535573676110727,24.625
22,23,3,0.3333333333333333,0.4163331998932266,26.53333333333333
23,24,1,0.0,,26.6
24,25,14,0.1857142857142857,0.3634390073835115,27.457142857142856
25,26,9,0.3111111111111111,0.4702245326555295,32.24444444444444
26,27,8,0.625,0.5175491695067657,30.675
27,28,8,0.375,0.5175491695067657,31.299999999999997
28,29,5,0.24,0.43358966777357605,32.96
29,30,7,0.37142857142857144,0.48205907561309574,36.771428571428565
30,31,7,0.19999999999999998,0.3829708431025352,37.371428571428574
31,32,6,0.16666666666666666,0.408248290463863,36.666666666666664
32,33,11,0.38181818181818183,0.4935953440181174,38.21818181818182
33,34,7,0.42857142857142855,0.48205907561309574,39.39999999999999
34,35,8,0.0,0.0,39.8
35,36,7,0.14285714285714285,0.37796447300922725,43.34285714285714
36,37,6,0.3333333333333333,0.5163977794943222,44.5
37,38,13,0.1846153846153846,0.3782551031736691,48.15384615384615
38,39,8,0.325,0.46521884251239376,44.75
39,40,4,0.5,0.5773502691896257,39.099999999999994
40,41,9,0.1111111111111111,0.3333333333333333,48.666666666666664
41,42,4,0.25,0.5,53.55
42,43,12,0.3,0.3954284212896645,47.5
43,44,5,0.2,0.447213595499958,52.36
44,45,4,0.25,0.5,55.6
45,46,5,0.0,0.0,60.59999999999999
46,47,3,0.3333333333333333,0.5773502691896258,52.46666666666667
47,48,2,0.09999999999999998,0.14142135623730948,64.69999999999999
48,49,3,0.0,0.0,58.133333333333326
49,50,4,0.0,0.0,56.949999999999996
50,51,3,0.0,0.0,62.26666666666666
51,52,4,0.0,0.0,67.44999999999999
52,53,2,0.0,0.0,65.4
53,54,2,0.0,0.0,62.89999999999999
54,55,3,0.6,0.5291502622129182,63.4
55,56,2,0.0,0.0,59.4
56,57,3,0.0,0.0,73.39999999999999
57,58,1,0.3999999999999999,,70.4
58,59,2,0.5,0.7071067811865476,78.1
59,60,2,0.0,0.0,71.5
60,61,2,0.5,0.7071067811865476,73.39999999999999
61,62,3,0.0,0.0,82.06666666666666
62,63,1,0.0,,105.4
64,65,1,0.0,,58.0
65,66,3,0.0,0.0,81.8
66,67,1,0.0,,82.19999999999999
68,69,1,1.0,,58.0
70,71,1,0.0,,88.19999999999999
71,72,1,0.0,,65.8
72,73,1,0.0,,105.0
74,75,1,0.0,,110.4
75,76,1,1.0,,80.6
76,77,2,0.0,0.0,90.5
77,78,2,0.0,0.0,90.3
78,79,2,0.5,0.7071067811865476,90.9
81,82,1,0.0,,90.2
84,85,1,0.0,,70.6
86,87,1,0.0,,125.2
87,88,1,0.0,,98.6
92,93,2,0.0,0.0,109.5
93,94,1,0.0,,123.4
98,99,1,0.0,,99.8
101,102,1,0.0,,119.6
103,104,1,0.0,,112.0
105,106,1,0.0,,96.6
106,107,1,0.0,,122.4
108,109,1,0.0,,124.0
117,118,1,0.19999999999999996,,164.0
121,122,1,0.0,,155.79999999999998
134,135,1,0.0,,136.2
139,140,1,1.0,,156.39999999999998
144,145,1,0.0,,161.6
151,152,1,0.0,,127.0
152,153,1,0.0,,190.4
173,174,1,0.0,,170.6
224,225,1,1.0,,330.6
593,594,1,0.0,,817.9999999999999
