bin_start,bin_end,n,pass_at_1_mean,pass_at_1_std,lm_cc_mean
0,5,27,0.5481481481481482,0.4917553881996229,1.8074074074074074
5,10,111,0.5261261261261261,0.4868659908419286,6.475675675675675
10,15,114,0.5508771929824561,0.48302982081215323,12.303508771929824
15,20,101,0.4396039603960396,0.48499055824228005,18.02970297029703
20,25,73,0.4575342465753425,0.4778184825674966,23.964383561643835
25,30,38,0.38421052631578945,0.47278720188323675,30.14210526315789
30,35,21,0.43809523809523804,0.42717231941710654,36.97142857142857
35,40,14,0.24285714285714285,0.4237457251234985,46.87142857142857
40,45,10,0.1,0.253859103528797,51.58
45,50,8,0.475,0.4399675312695569,51.375
50,55,6,0.16666666666666666,0.408248290463863,62.79999999999999
55,60,3,0.0,0.0,87.13333333333333
60,65,5,0.0,0.0,74.44
65,70,0,,,
70,75,0,,,
75,80,0,,,
80,85,0,,,
85,90,0,,,
90,95,1,0.0,,95.0
95,100,0,,,
100,105,1,0.0,,113.0
105,110,1,0.0,,125.0
110,115,0,,,
115,120,0,,,
120,125,0,,,
125,130,0,,,
130,135,0,,,
135,140,0,,,
140,145,0,,,
145,150,1,0.0,,194.6
150,155,0,,,
155,160,0,,,
160,165,0,,,
165,170,0,,,
170,175,0,,,
175,180,0,,,
180,185,0,,,
185,190,0,,,
190,195,0,,,
195,200,0,,,
200,205,0,,,
