bin_start,bin_end,n,pass_at_1_mean,pass_at_1_std,lm_cc_mean
0,10,138,0.5304347826086957,0.4861000311059373,5.56231884057971
10,20,215,0.49860465116279074,0.4860174864904835,14.993488372093022
20,30,111,0.43243243243243246,0.4752343273035586,26.079279279279277
30,40,35,0.36,0.4305946640471551,40.93142857142857
40,50,18,0.26666666666666666,0.38805700005813276,51.48888888888889
50,60,9,0.1111111111111111,0.3333333333333333,70.9111111111111
60,70,5,0.0,0.0,74.44
70,80,0,,,
80,90,0,,,
90,100,1,0.0,,95.0
100,110,2,0.0,0.0,119.0
110,120,0,,,
120,130,0,,,
130,140,0,,,
140,150,1,0.0,,194.6
150,160,0,,,
160,170,0,,,
170,180,0,,,
180,190,0,,,
190,200,0,,,
200,210,0,,,
