avg_context_surprisal_gap,avg_first_token_surprisal,dataset,lm_cc,lm_cc_density,loc,num_functions,num_semantic_units,ppl,total_tokens,uid,pass_at_1
0.0397707300551701,8.425043106079102,humaneval,8.2,39.119121357798576,10,1,7,2.4565283436680896,86,HumanEval_0,1.0
0.078826679651736,1.78778076171875,humaneval,6.999999999999999,15.3183914385736,21,1,8,1.7378826870879256,147,HumanEval_1,0.4
0.022370384953154,8.43901538848877,humaneval,2.8,4.653502464294434,3,1,4,6.9093960374699135,28,HumanEval_2,1.0
0.0022404561065794,8.439016342163086,humaneval,4.2,12.212415009737017,10,1,5,3.228031333345884,57,HumanEval_3,1.0
0.0462702210061252,8.439016342163086,humaneval,4.2,2.313384532928467,4,1,5,2.2983890698611877,57,HumanEval_4,1.0
0.0095365832945922,8.425043106079102,humaneval,5.6,13.56209620833397,14,1,6,2.1296153137175917,88,HumanEval_5,1.0
0.2477362204384888,2.791431665420532,humaneval,10.6,8.792861208319664,17,2,11,2.0288218111349248,134,HumanEval_6,0.8
0.3160874905814934,1.780746340751648,humaneval,2.8,1.600226640701294,5,1,5,2.56474826153052,44,HumanEval_7,1.0
0.1382864161618379,1.780746340751648,humaneval,5.6,7.315437525510788,11,1,7,2.043984641713279,76,HumanEval_8,1.0
0.1258981395810625,1.78778076171875,humaneval,5.6,15.327662967145445,16,1,7,1.8386189243680204,94,HumanEval_9,1.0
0.0684073061734858,1.78778076171875,humaneval,6.999999999999999,13.754856258630753,13,1,8,2.460530012104717,101,HumanEval_10,0.0
0.3420384131191225,3.442683219909668,humaneval,7.6,10.558203456923366,11,2,8,1.976495122216377,84,HumanEval_11,1.0
0.0547995908769764,8.439016342163086,humaneval,5.6,16.127771139144897,9,1,6,2.2900061516735573,69,HumanEval_12,1.0
0.1065484425111208,8.439016342163086,humaneval,2.8,4.777996391057968,5,1,4,2.2252191465106432,46,HumanEval_13,1.0
0.2115521047463906,1.780746340751648,humaneval,5.8,6.615166038274765,9,1,7,2.170057459510397,57,HumanEval_14,1.0
0.2275675151545061,1.780746340751648,humaneval,2.8,4.637615203857422,5,1,5,3.3829689201139024,42,HumanEval_15,1.0
-0.0099024393216327,8.439016342163086,humaneval,2.8,1.500710129737854,3,1,4,4.123129267661717,33,HumanEval_16,1.0
0.0752963172890304,8.439016342163086,humaneval,4.2,1.452154278755188,4,1,5,4.431408008458568,70,HumanEval_17,1.0
-0.0195722091949493,8.439016342163086,humaneval,5.8,11.655019521713257,9,1,6,2.05028979812701,78,HumanEval_18,1.0
0.0143914156230012,8.425043106079102,humaneval,5.8,3.0925488471984863,15,1,6,1.7255872088636708,142,HumanEval_19,0.6
0.0219493537717527,1.7888953685760498,humaneval,13.2,71.48930794373155,20,1,11,1.7453719834272758,169,HumanEval_20,1.0
0.2026976680589051,1.780746340751648,humaneval,4.2,2.1408982276916504,7,1,6,2.098121800168113,73,HumanEval_21,1.0
0.0854729486095225,8.439016342163086,humaneval,2.8,1.7217620611190796,3,1,4,3.2199325554399536,40,HumanEval_22,1.0
0.0712477626382476,8.438502311706543,humaneval,2.8,1.4497238397598269,3,1,4,4.684617660662664,24,HumanEval_23,1.0
0.1727567308815196,1.780746340751648,humaneval,2.8,7.509715110063553,7,1,5,2.2839080126578306,48,HumanEval_24,1.0
0.1277634658594615,1.78778076171875,humaneval,5.6,16.11269909143448,17,1,7,1.6809795953181137,108,HumanEval_25,1.0
0.0980334414444787,8.439016342163086,humaneval,5.6,5.731298208236694,5,1,6,2.767692425425557,55,HumanEval_26,1.0
-0.0322245488364604,8.43901538848877,humaneval,2.8,3.090331554412842,3,1,4,4.961959598260141,27,HumanEval_27,1.0
0.1850557049355385,8.43901538848877,humaneval,2.8,2.972754001617432,3,1,4,4.029833864347714,28,HumanEval_28,1.0
0.1092995060727191,8.439016342163086,humaneval,2.8,1.809295892715454,3,1,4,2.804476535608301,45,HumanEval_29,1.0
